"#Modified dataset.  Original Data Source Credit: Small Area Health Insurance Estimates Program, U.S. Census Bureau. (https://stanfordphs.redivis.com/datasets/4mz7-dh26w34ns)",,,,,,,,,,,,,,,
# Here are the descriptions of this dataset:,,,,,,,,,,,,,,,
# year - Year of Estimate,,,,,,,,,,,,,,,
# statefips - Unique FIPS code for each state,,,,,,,,,,,,,,,
# countyfips - Unique FIPS code for each county within a state,,,,,,,,,,,,,,,
"# geocat - Geography category, 40 – State geographic identifier, 50 – County geographic identifier",,,,,,,,,,,,,,,
# agecat - Age category,,,,,,,,,,,,,,,
# racecat - Race category,,,,,,,,,,,,,,,
# sexcat - Sex category,,,,,,,,,,,,,,,
# iprcat - Income category,,,,,,,,,,,,,,,
# NIPR - Number in demographic group for income category,,,,,,,,,,,,,,,
# NUI - Number uninsured,,,,,,,,,,,,,,,
# NIC - Number insured,,,,,,,,,,,,,,,
# PCTUI - Percent uninsured in demographic group for income category,,,,,,,,,,,,,,,
# PCTIC - Percent insured in demographic group for income category,,,,,,,,,,,,,,,
# PCTELIG - Percent uninsured in demographic group for all income levels,,,,,,,,,,,,,,,
# PCTLIIC - Percent insured in demographic group for all income levels,,,,,,,,,,,,,,,
# state_name - State name,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
year,statefips,countyfips,geocat,agecat,racecat,sexcat,iprcat,NIPR,NUI,NIC,PCTUI,PCTIC,PCTELIG,PCTLIIC,state_name
2020,26,0,40,50 to 64 years,"White alone, not Hispanic",Male,At or below 400% of poverty,358762,35520,323242,9.9,90.1,4.5,40.8,Michigan                                                              
2020,26,0,40,50 to 64 years,"White alone, not Hispanic",Male,Between 138% - 400% of poverty,260786,23417,237369,9,91,3,30,Michigan                                                              
2020,26,0,40,50 to 64 years,"White alone, not Hispanic",Female,At or below 200% of poverty,163129,15108,148021,9.3,90.7,1.8,18.1,Michigan                                                              
2020,26,0,40,50 to 64 years,"White alone, not Hispanic",Female,At or below 250% of poverty,217213,19731,197482,9.1,90.9,2.4,24.1,Michigan                                                              
2020,26,0,40,50 to 64 years,"White alone, not Hispanic",Female,At or below 138% of poverty,103295,9160,94135,8.9,91.1,1.1,11.5,Michigan                                                              
2020,26,0,40,50 to 64 years,"White alone, not Hispanic",Female,At or below 400% of poverty,386795,30167,356628,7.8,92.2,3.7,43.5,Michigan                                                              
2020,26,0,40,50 to 64 years,"White alone, not Hispanic",Female,Between 138% - 400% of poverty,283500,21007,262493,7.4,92.6,2.6,32.1,Michigan                                                              
2020,26,0,40,50 to 64 years,"Black alone, not Hispanic",Male,At or below 200% of poverty,42025,3836,38189,9.1,90.9,3.7,37.3,Michigan                                                              
2020,26,0,40,50 to 64 years,"Black alone, not Hispanic",Male,At or below 250% of poverty,50023,4497,45526,9,91,4.4,44.5,Michigan                                                              
2020,26,0,40,50 to 64 years,"Black alone, not Hispanic",Male,At or below 138% of poverty,32064,2975,29089,9.3,90.7,2.9,28.4,Michigan                                                              
2020,26,0,40,50 to 64 years,"Black alone, not Hispanic",Male,At or below 400% of poverty,70191,5759,64432,8.2,91.8,5.6,63,Michigan                                                              
2020,26,0,40,50 to 64 years,"Black alone, not Hispanic",Male,Between 138% - 400% of poverty,38127,2784,35343,7.3,92.7,2.7,34.5,Michigan                                                              
2020,26,0,40,50 to 64 years,"Black alone, not Hispanic",Female,At or below 200% of poverty,54140,4251,49889,7.9,92.1,3.3,38.7,Michigan                                                              
2020,26,0,40,50 to 64 years,"Black alone, not Hispanic",Female,At or below 250% of poverty,65524,5063,60461,7.7,92.3,3.9,46.9,Michigan                                                              
2020,26,0,40,50 to 64 years,"Black alone, not Hispanic",Female,At or below 138% of poverty,38431,2942,35489,7.7,92.3,2.3,27.5,Michigan                                                              
2020,26,0,40,50 to 64 years,"Black alone, not Hispanic",Female,At or below 400% of poverty,90983,6671,84312,7.3,92.7,5.2,65.4,Michigan                                                              
2020,26,0,40,50 to 64 years,"Black alone, not Hispanic",Female,Between 138% - 400% of poverty,52552,3729,48823,7.1,92.9,2.9,37.9,Michigan                                                              
2020,26,0,40,50 to 64 years,Hispanic (any race),Male,At or below 200% of poverty,9630,1951,7679,20.3,79.7,6.1,23.8,Michigan                                                              
2020,26,0,40,50 to 64 years,Hispanic (any race),Male,At or below 250% of poverty,12442,2390,10052,19.2,80.8,7.4,31.2,Michigan                                                              
2020,26,0,40,50 to 64 years,Hispanic (any race),Male,At or below 138% of poverty,6068,1297,4771,21.4,78.6,4,14.8,Michigan                                                              
2020,26,0,40,50 to 64 years,Hispanic (any race),Male,At or below 400% of poverty,19298,3250,16048,16.8,83.2,10.1,49.8,Michigan                                                              
2020,26,0,40,50 to 64 years,Hispanic (any race),Male,Between 138% - 400% of poverty,13230,1953,11277,14.8,85.2,6.1,35,Michigan                                                              
2020,26,0,40,50 to 64 years,Hispanic (any race),Female,At or below 200% of poverty,9994,1620,8374,16.2,83.8,5.1,26.4,Michigan                                                              
2020,26,0,40,50 to 64 years,Hispanic (any race),Female,At or below 250% of poverty,13076,2023,11053,15.5,84.5,6.4,34.8,Michigan                                                              
2020,26,0,40,50 to 64 years,Hispanic (any race),Female,At or below 138% of poverty,6228,1020,5208,16.4,83.6,3.2,16.4,Michigan                                                              
2020,26,0,40,50 to 64 years,Hispanic (any race),Female,At or below 400% of poverty,19881,2810,17071,14.1,85.9,8.9,53.8,Michigan                                                              
2020,26,0,40,50 to 64 years,Hispanic (any race),Female,Between 138% - 400% of poverty,13653,1790,11863,13.1,86.9,5.6,37.4,Michigan                                                              
2020,26,0,40,21 to 64 years,"White alone, not Hispanic",Male,At or below 200% of poverty,421213,68100,353113,16.2,83.8,3.3,16.9,Michigan                                                              
2020,26,0,40,21 to 64 years,"White alone, not Hispanic",Male,At or below 250% of poverty,572226,88825,483401,15.5,84.5,4.3,23.2,Michigan                                                              
2020,26,0,40,21 to 64 years,"White alone, not Hispanic",Male,At or below 138% of poverty,254703,41472,213231,16.3,83.7,2,10.2,Michigan                                                              
2020,26,0,40,21 to 64 years,"White alone, not Hispanic",Male,At or below 400% of poverty,1050346,133541,916805,12.7,87.3,6.4,43.9,Michigan                                                              
2020,26,0,40,21 to 64 years,"White alone, not Hispanic",Male,Between 138% - 400% of poverty,795643,92069,703574,11.6,88.4,4.4,33.7,Michigan                                                              
2020,26,0,40,21 to 64 years,"White alone, not Hispanic",Female,At or below 200% of poverty,498485,50453,448032,10.1,89.9,2.4,21.5,Michigan                                                              
2020,26,0,40,21 to 64 years,"White alone, not Hispanic",Female,At or below 250% of poverty,655974,64152,591822,9.8,90.2,3.1,28.4,Michigan                                                              
2020,26,0,40,21 to 64 years,"White alone, not Hispanic",Female,At or below 138% of poverty,314715,30911,283804,9.8,90.2,1.5,13.6,Michigan                                                              
2020,26,0,40,21 to 64 years,"White alone, not Hispanic",Female,At or below 400% of poverty,1119455,91680,1027775,8.2,91.8,4.4,49.3,Michigan                                                              
2020,26,0,40,21 to 64 years,"White alone, not Hispanic",Female,Between 138% - 400% of poverty,804740,60769,743971,7.6,92.4,2.9,35.7,Michigan                                                              
2020,26,0,40,21 to 64 years,"Black alone, not Hispanic",Male,At or below 200% of poverty,132077,21122,110955,16,84,6.4,33.5,Michigan                                                              
2020,26,0,40,21 to 64 years,"Black alone, not Hispanic",Male,At or below 250% of poverty,164527,25864,138663,15.7,84.3,7.8,41.9,Michigan                                                              
2020,26,0,40,21 to 64 years,"Black alone, not Hispanic",Male,At or below 138% of poverty,92537,14837,77700,16,84,4.5,23.5,Michigan                                                              
2020,26,0,40,21 to 64 years,"Black alone, not Hispanic",Male,At or below 400% of poverty,240095,33831,206264,14.1,85.9,10.2,62.3,Michigan                                                              
2020,26,0,40,21 to 64 years,"Black alone, not Hispanic",Male,Between 138% - 400% of poverty,147558,18994,128564,12.9,87.1,5.7,38.9,Michigan                                                              
2020,26,0,40,21 to 64 years,"Black alone, not Hispanic",Female,At or below 200% of poverty,184935,17082,167853,9.2,90.8,4.3,42.6,Michigan                                                              
2020,26,0,40,21 to 64 years,"Black alone, not Hispanic",Female,At or below 250% of poverty,222541,20353,202188,9.1,90.9,5.2,51.3,Michigan                                                              
2020,26,0,40,21 to 64 years,"Black alone, not Hispanic",Female,At or below 138% of poverty,130989,11769,119220,9,91,3,30.3,Michigan                                                              
2020,26,0,40,21 to 64 years,"Black alone, not Hispanic",Female,At or below 400% of poverty,301925,25845,276080,8.6,91.4,6.6,70.1,Michigan                                                              
2020,26,0,40,21 to 64 years,"Black alone, not Hispanic",Female,Between 138% - 400% of poverty,170936,14076,156860,8.2,91.8,3.6,39.8,Michigan                                                              
2020,26,0,40,21 to 64 years,Hispanic (any race),Male,At or below 200% of poverty,49764,13742,36022,27.6,72.4,9.4,24.7,Michigan                                                              
2020,26,0,40,21 to 64 years,Hispanic (any race),Male,At or below 250% of poverty,65709,17187,48522,26.2,73.8,11.8,33.3,Michigan                                                              
2020,26,0,40,21 to 64 years,Hispanic (any race),Male,At or below 138% of poverty,30094,8784,21310,29.2,70.8,6,14.6,Michigan                                                              
2020,26,0,40,21 to 64 years,Hispanic (any race),Male,At or below 400% of poverty,100521,22770,77751,22.7,77.3,15.6,53.3,Michigan                                                              
2020,26,0,40,21 to 64 years,Hispanic (any race),Male,Between 138% - 400% of poverty,70427,13986,56441,19.9,80.1,9.6,38.7,Michigan                                                              
2020,26,0,40,21 to 64 years,Hispanic (any race),Female,At or below 200% of poverty,56108,12009,44099,21.4,78.6,8.5,31.3,Michigan                                                              
2020,26,0,40,21 to 64 years,Hispanic (any race),Female,At or below 250% of poverty,70333,14286,56047,20.3,79.7,10.1,39.8,Michigan                                                              
2020,26,0,40,21 to 64 years,Hispanic (any race),Female,At or below 138% of poverty,36791,8359,28432,22.7,77.3,5.9,20.2,Michigan                                                              
2020,26,0,40,21 to 64 years,Hispanic (any race),Female,At or below 400% of poverty,101935,18000,83935,17.7,82.3,12.8,59.6,Michigan                                                              
2020,26,0,40,21 to 64 years,Hispanic (any race),Female,Between 138% - 400% of poverty,65144,9641,55503,14.8,85.2,6.8,39.4,Michigan                                                              
2020,27,0,40,18 to 64 years,"White alone, not Hispanic",Male,At or below 200% of poverty,186165,25235,160930,13.6,86.4,1.9,12.1,Minnesota                                                             
2020,27,0,40,18 to 64 years,"White alone, not Hispanic",Male,At or below 250% of poverty,261601,34329,227272,13.1,86.9,2.6,17.1,Minnesota                                                             
2020,27,0,40,18 to 64 years,"White alone, not Hispanic",Male,At or below 138% of poverty,111263,14944,96319,13.4,86.6,1.1,7.2,Minnesota                                                             
2020,27,0,40,18 to 64 years,"White alone, not Hispanic",Male,At or below 400% of poverty,541056,57578,483478,10.6,89.4,4.3,36.3,Minnesota                                                             
2020,27,0,40,18 to 64 years,"White alone, not Hispanic",Male,Between 138% - 400% of poverty,429793,42634,387159,9.9,90.1,3.2,29.1,Minnesota                                                             
2020,27,0,40,18 to 64 years,"White alone, not Hispanic",Female,At or below 200% of poverty,219945,21834,198111,9.9,90.1,1.7,15.1,Minnesota                                                             
